Run will be saved under: ./run_outputs/run_2000_to_2000-06-30

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 11006583, isPK: False, prob: 0.004698804579675198>
<pmid: 11000977, isPK: False, prob: 0.027077989652752876>
<pmid: 11000976, isPK: False, prob: 0.0072915623895823956>
<pmid: 11000975, isPK: True, prob: 0.9977042078971863>
<pmid: 11000911, isPK: True, prob: 0.9999892711639404>
<pmid: 10999384, isPK: True, prob: 0.9992502331733704>
<pmid: 10999190, isPK: False, prob: 0.006521899718791246>
<pmid: 10996456, isPK: False, prob: 0.0010430624242872>
<pmid: 10990909, isPK: False, prob: 0.0014637586427852511>
<pmid: 10983482, isPK: False, prob: 0.0007661116542294621>
<pmid: 10982184, isPK: False, prob: 0.001387555617839098>
<pmid: 10977460, isPK: False, prob: 0.001541798934340477>
<pmid: 10972485, isPK: True, prob: 0.9999901056289673>
<pmid: 10969882, isPK: False, prob: 0.0008387118577957153>
<pmid: 10969877, isPK: False, prob: 0.44178321957588196>
<pmid: 10969874, isPK: False, prob: 0.0017981353448703885>
<pmid: 10968569, isPK: True, prob: 0.9999929666519165>
<pmid: 10968567, isPK: True, prob: 0.9999938011169434>
<pmid: 10968562, isPK: False, prob: 0.0011569031048566103>
<pmid: 10968414, isPK: False, prob: 0.004228518344461918>
<pmid: 10968344, isPK: False, prob: 0.0008746030507609248>
<pmid: 10968277, isPK: False, prob: 0.003624105593189597>
<pmid: 10967700, isPK: True, prob: 0.999992847442627>
<pmid: 10965812, isPK: False, prob: 0.0007170488242991269>
<pmid: 10965520, isPK: True, prob: 0.9966272711753845>
<pmid: 10965518, isPK: False, prob: 0.002637286903336644>
<pmid: 10965108, isPK: False, prob: 0.0007404357311315835>
<pmid: 10964036, isPK: True, prob: 0.999992847442627>
<pmid: 10963620, isPK: False, prob: 0.0005559656419791281>
<pmid: 10961942, isPK: False, prob: 0.0009277534554712474>
<pmid: 10961940, isPK: False, prob: 0.0012722039828076959>
<pmid: 10957700, isPK: False, prob: 0.0043262611143291>
<pmid: 10955853, isPK: False, prob: 0.003730527590960264>
<pmid: 10955839, isPK: True, prob: 0.9437315464019775>
<pmid: 10955838, isPK: True, prob: 0.9582629799842834>
<pmid: 10955836, isPK: True, prob: 0.9999943971633911>
<pmid: 10955835, isPK: True, prob: 0.9999908208847046>
<pmid: 10955834, isPK: False, prob: 0.0022818867582827806>
<pmid: 10955276, isPK: False, prob: 0.0011639500735327601>
<pmid: 10954050, isPK: False, prob: 0.0010552301537245512>
<pmid: 10952483, isPK: True, prob: 0.999990701675415>
<pmid: 10950141, isPK: False, prob: 0.0007688554469496012>
<pmid: 10950140, isPK: False, prob: 0.008337678387761116>
<pmid: 10949084, isPK: False, prob: 0.000678741023875773>
<pmid: 10945398, isPK: False, prob: 0.001871407963335514>
<pmid: 10942077, isPK: False, prob: 0.001465245382860303>
<pmid: 10939605, isPK: False, prob: 0.0006442606681957841>
<pmid: 10938899, isPK: False, prob: 0.0007386596989817917>
<pmid: 10938789, isPK: False, prob: 0.01654258370399475>
<pmid: 10938785, isPK: False, prob: 0.0010627376614138484>
<pmid: 10938782, isPK: True, prob: 0.9990633130073547>
<pmid: 10938529, isPK: False, prob: 0.48455190658569336>
<pmid: 10938479, isPK: False, prob: 0.0010656608501449227>
<pmid: 10938475, isPK: False, prob: 0.0009684588294476271>
<pmid: 10936741, isPK: True, prob: 0.9977658987045288>
<pmid: 10934741, isPK: False, prob: 0.028125224635004997>
<pmid: 10933181, isPK: False, prob: 0.003016793169081211>
<pmid: 10930108, isPK: True, prob: 0.9999918937683105>
<pmid: 10930053, isPK: False, prob: 0.0009184316149912775>
<pmid: 10928451, isPK: False, prob: 0.0011033040937036276>
<pmid: 10928344, isPK: False, prob: 0.001991202589124441>
